id,case,start_datetime,end_datetime,event
52,02,2018-03-18T17:02:54,2018-03-18T17:04:30,Forest/field/jungle
53,02,2018-03-18T17:05:02,2018-03-18T17:09:50,Pathways
54,02,2018-03-18T17:10:22,2018-03-18T17:11:26,Mountains/hills/desert/sky
0,03,2018-03-10T08:07:58,2018-03-10T08:22:32,Kitchen
1,03,2018-03-10T08:23:04,2018-03-10T08:23:04,Bathroom
2,03,2018-03-10T08:23:36,2018-03-10T08:23:36,Kitchen
3,03,2018-03-10T08:24:08,2018-03-10T08:29:09,Restaurant/Bar
4,03,2018-03-10T08:29:41,2018-03-10T08:29:41,Kitchen
5,03,2018-03-10T08:30:13,2018-03-10T08:33:25,Restaurant/Bar
6,03,2018-03-10T08:33:57,2018-03-10T08:34:29,Kitchen
7,03,2018-03-10T08:35:01,2018-03-10T08:37:41,Balcony
8,03,2018-03-10T08:38:48,2018-03-10T08:47:18,Kitchen
9,03,2018-03-10T08:47:50,2018-03-10T08:47:50,Bathroom
10,03,2018-03-10T08:48:22,2018-03-10T08:50:11,Kitchen
11,03,2018-03-10T08:50:43,2018-03-10T08:51:15,Otherrooms
12,03,2018-03-10T08:51:47,2018-03-10T08:52:19,Bathroom
13,03,2018-03-10T08:52:51,2018-03-10T08:52:51,Kitchen
14,03,2018-03-10T08:53:23,2018-03-10T08:54:27,Otherrooms
15,03,2018-03-10T09:22:33,2018-03-10T09:31:18,Shop
16,03,2018-03-10T09:31:50,2018-03-10T09:33:58,Pathways
17,03,2018-03-10T09:34:30,2018-03-10T09:35:02,Otherrooms
18,03,2018-03-10T09:35:34,2018-03-10T09:36:06,Kitchen
19,03,2018-03-10T11:02:13,2018-03-10T11:04:42,Otherrooms
20,03,2018-03-10T11:05:14,2018-03-10T11:05:14,Livingroom
21,03,2018-03-10T11:05:46,2018-03-10T11:08:58,Office
22,03,2018-03-10T11:09:30,2018-03-10T11:09:30,Otherrooms
23,03,2018-03-10T11:10:02,2018-03-10T11:10:02,Bathroom
24,03,2018-03-10T11:10:34,2018-03-10T11:10:34,Otherrooms
25,03,2018-03-10T11:11:06,2018-03-10T12:03:48,Office
26,03,2018-03-10T12:05:05,2018-03-10T12:41:34,Kitchen
